Rz,ρ,r,n,s,l,b,h1,h2,"fc,new","fc,old",fy,σn,τ
6.87,0,0,0,0,300,150,150,150,39.9,27,0,0,3.16
6.87,0,0,0,0,300,150,150,150,39.9,27,0,0,3.24
5.68,0,0,0,0,300,150,150,150,39.9,27,0,0,2.94
5.68,0,0,0,0,300,150,150,150,39.9,27,0,0,3.01
4.18,0,0,0,0,300,150,150,150,39.9,27,0,0,2.32
4.18,0,0,0,0,300,150,150,150,39.9,27,0,0,2.4
4.18,0,0,0,0,300,150,150,150,39.9,27,0,0,2.74
4.18,0,0,0,0,300,150,150,150,39.9,27,0,0,2.6
3.76,0,0,0,0,300,150,150,150,39.9,27,0,0,2.67
3.76,0,0,0,0,300,150,150,150,39.9,27,0,0,2.47
3.64,0,0,0,0,300,150,150,150,39.9,27,0,0,2.79
4.18,0.5,12,2,130,300,150,150,150,39.9,27,415,0,4.01
4.18,0.5,12,2,130,300,150,150,150,39.9,27,415,0,4.16
4.18,0.5,10,3,130,300,150,150,150,39.9,27,492,0,4.48
4.18,0.5,10,3,130,300,150,150,150,39.9,27,492,0,4.34
4.18,0.5,8,6,130,300,150,150,150,39.9,27,463,0,5.21
4.18,0.5,8,6,130,300,150,150,150,39.9,27,463,0,5.34
3.76,0.5,12,2,130,300,150,150,150,39.9,27,415,0,3.82
3.76,0.5,12,2,130,300,150,150,150,39.9,27,415,0,3.9
3.64,0.5,12,2,130,300,150,150,150,39.9,27,415,0,3.68
3.64,0.5,12,2,130,300,150,150,150,39.9,27,415,0,3.52
0.43,0,0,0,0,300,300,75,100,25,40,0,0,0.61
0.3,0,0,0,0,300,300,75,100,25,40,0,0,0.73
0.5,0,0,0,0,300,300,75,100,25,40,0,0,0.67
2.68,0,0,0,0,300,300,75,100,25,40,0,0,1.28
2.42,0,0,0,0,300,300,75,100,25,40,0,0,1.23
2.82,0,0,0,0,300,300,75,100,25,40,0,0,1.45
3.28,0,0,0,0,300,300,75,100,25,40,0,0,1.55
3.57,0,0,0,0,300,300,75,100,25,40,0,0,1.67
3.15,0,0,0,0,300,300,75,100,25,40,0,0,1.34
3.76,0,0,0,0,300,300,75,100,25,40,0,0,2.95
4.32,0,0,0,0,300,300,75,100,25,40,0,0,3.5
4.45,0,0,0,0,300,300,75,100,25,40,0,0,3.67
6.6,0,0,0,0,300,300,75,100,25,40,0,0,3.78
4.54,0,0,0,0,300,300,75,100,25,40,0,0,3.45
4.89,0,0,0,0,300,300,75,100,25,40,0,0,3.17
0.57,0,0,0,0,300,300,75,100,25,40,0,0.5,1.39
0.52,0,0,0,0,300,300,75,100,25,40,0,0.5,1.28
0.61,0,0,0,0,300,300,75,100,25,40,0,0.5,1.51
2.07,0,0,0,0,300,300,75,100,25,40,0,0.5,1.82
2.28,0,0,0,0,300,300,75,100,25,40,0,0.5,2.09
2.36,0,0,0,0,300,300,75,100,25,40,0,0.5,2.16
3.73,0,0,0,0,300,300,75,100,25,40,0,0.5,2.55
2.62,0,0,0,0,300,300,75,100,25,40,0,0.5,2.28
2.11,0,0,0,0,300,300,75,100,25,40,0,0.5,2.11
4.22,0,0,0,0,300,300,75,100,25,40,0,0.5,3.86
4.65,0,0,0,0,300,300,75,100,25,40,0,0.5,4
3.02,0,0,0,0,300,300,75,100,25,40,0,0.5,3.67
4.17,0,0,0,0,300,300,75,100,25,40,0,0.5,4.67
5.03,0,0,0,0,300,300,75,100,25,40,0,0.5,4.84
4.32,0,0,0,0,300,300,75,100,25,40,0,0.5,4.56
0.53,0,0,0,0,300,300,75,100,25,40,0,1,1.81
0.78,0,0,0,0,300,300,75,100,25,40,0,1,1.71
0.81,0,0,0,0,300,300,75,100,25,40,0,1,1.51
2.16,0,0,0,0,300,300,75,100,25,40,0,1,2.31
1.82,0,0,0,0,300,300,75,100,25,40,0,1,2.63
1.71,0,0,0,0,300,300,75,100,25,40,0,1,2.6
3.05,0,0,0,0,300,300,75,100,25,40,0,1,2.78
3.6,0,0,0,0,300,300,75,100,25,40,0,1,3.22
3.77,0,0,0,0,300,300,75,100,25,40,0,1,3.44
3.2,0,0,0,0,300,300,75,100,25,40,0,1,4.59
3.95,0,0,0,0,300,300,75,100,25,40,0,1,4.87
3.81,0,0,0,0,300,300,75,100,25,40,0,1,4.67
7.77,0,0,0,0,300,300,75,100,25,40,0,1,6.17
4.77,0,0,0,0,300,300,75,100,25,40,0,1,6
4.51,0,0,0,0,300,300,75,100,25,40,0,1,5.72
0.58,0,0,0,0,300,300,75,100,25,40,0,1.5,1.99
0.8,0,0,0,0,300,300,75,100,25,40,0,1.5,1.85
0.98,0,0,0,0,300,300,75,100,25,40,0,1.5,2.11
1.93,0,0,0,0,300,300,75,100,25,40,0,1.5,2.9
2.18,0,0,0,0,300,300,75,100,25,40,0,1.5,3.62
2.05,0,0,0,0,300,300,75,100,25,40,0,1.5,3.47
3.74,0,0,0,0,300,300,75,100,25,40,0,1.5,3.5
2.74,0,0,0,0,300,300,75,100,25,40,0,1.5,3.22
3.82,0,0,0,0,300,300,75,100,25,40,0,1.5,3.72
2.74,0,0,0,0,300,300,75,100,25,40,0,1.5,6.4
4.21,0,0,0,0,300,300,75,100,25,40,0,1.5,6.34
2.98,0,0,0,0,300,300,75,100,25,40,0,1.5,5.78
3.23,0,0,0,0,300,300,75,100,25,40,0,1.5,6.29
4.61,0,0,0,0,300,300,75,100,25,40,0,1.5,6.51
3.45,0,0,0,0,300,300,75,100,25,40,0,1.5,6.45
1.5,0.13,6,1,55,150,150,75,75,39.41,33.5,270,0,1.789
1.5,0.13,6,1,55,150,150,75,75,39.41,33.5,270,0,1.539
1.5,0.13,6,1,55,150,150,75,75,39.41,33.5,270,0,1.78
1.5,0.22,8,1,55,150,150,75,75,39.41,33.5,270,0,1.92
1.5,0.22,8,1,55,150,150,75,75,39.41,33.5,270,0,1.667
1.5,0.22,8,1,55,150,150,75,75,39.41,33.5,270,0,1.879
1.5,0.35,7,2,55,150,150,75,75,39.41,33.5,270,0,1.92
1.5,0.35,7,2,55,150,150,75,75,39.41,33.5,270,0,2.13
1.5,0.35,7,2,55,150,150,75,75,39.41,33.5,270,0,2.592
1.5,0.7,10,2,55,150,150,75,75,39.41,33.5,270,0,2.445
1.5,0.7,10,2,55,150,150,75,75,39.41,33.5,270,0,2.505
1.5,0.7,10,2,55,150,150,75,75,39.41,33.5,270,0,2.478
0.67,0,0,0,0,150,150,75,75,31.1,33.6,0,0,1.107555556
0.67,0,0,0,0,150,150,75,75,31.1,33.6,0,0,0.747111111
0.67,0,0,0,0,150,150,75,75,31.1,33.6,0,0,0.74
