Rz,¦Ñ,r,n,s,l,b,h1,h2,"fc,new","fc,old",fy,¦Òn,¦Ó
4,0.141371669,6,1,25,200,100,100,100,30,40,400,0,3.756793
4,0.141371669,6,1,50,200,100,100,100,30,40,400,0,4.039674
4,0.141371669,6,1,75,200,100,100,100,30,40,400,0,4.048391
4,0.141371669,6,1,100,200,100,100,100,30,40,400,0,4.089749
4,0.251327412,8,1,25,200,100,100,100,30,40,400,0,4.2010765
4,0.251327412,8,1,50,200,100,100,100,30,40,400,0,4.438775
4,0.251327412,8,1,75,200,100,100,100,30,40,400,0,4.2102735
4,0.251327412,8,1,100,200,100,100,100,30,40,400,0,4.439726
4,0.392699082,10,1,25,200,100,100,100,30,40,400,0,4.4507995
4,0.392699082,10,1,50,200,100,100,100,30,40,400,0,4.721598
4,0.392699082,10,1,75,200,100,100,100,30,40,400,0,4.471746
4,0.392699082,10,1,100,200,100,100,100,30,40,400,0,4.723599
4,0.565486678,12,1,25,200,100,100,100,30,40,400,0,4.769267
4,0.565486678,12,1,50,200,100,100,100,30,40,400,0,4.987419
4,0.565486678,12,1,75,200,100,100,100,30,40,400,0,4.828936
4,0.565486678,12,1,100,200,100,100,100,30,40,400,0,4.987845
4,1.005309649,16,1,25,200,100,100,100,30,40,400,0,4.9431275
4,1.005309649,16,1,50,200,100,100,100,30,40,400,0,5.403585
4,1.005309649,16,1,75,200,100,100,100,30,40,400,0,5.38937
4,1.005309649,16,1,100,200,100,100,100,30,40,400,0,5.497965
4,0.062831853,6,1,25,300,150,150,150,30,40,400,0,3.120544444
4,0.062831853,6,1,50,300,150,150,150,30,40,400,0,3.185522222
4,0.062831853,6,1,75,300,150,150,150,30,40,400,0,3.121757778
4,0.062831853,6,1,100,300,150,150,150,30,40,400,0,3.21516
4,0.062831853,6,1,150,300,150,150,150,30,40,400,0,3.215173333
4,0.111701072,8,1,25,300,150,150,150,30,40,400,0,3.203153333
4,0.111701072,8,1,50,300,150,150,150,30,40,400,0,3.297957778
4,0.111701072,8,1,75,300,150,150,150,30,40,400,0,3.213784444
4,0.111701072,8,1,100,300,150,150,150,30,40,400,0,3.298157778
4,0.111701072,8,1,150,300,150,150,150,30,40,400,0,3.298193333
4,0.174532925,10,1,25,300,150,150,150,30,40,400,0,3.325424444
4,0.174532925,10,1,50,300,150,150,150,30,40,400,0,3.366802222
4,0.174532925,10,1,75,300,150,150,150,30,40,400,0,3.315222222
4,0.174532925,10,1,100,300,150,150,150,30,40,400,0,3.367426667
4,0.174532925,10,1,150,300,150,150,150,30,40,400,0,3.367466667
4,0.251327412,12,1,25,300,150,150,150,30,40,400,0,3.478457778
4,0.251327412,12,1,50,300,150,150,150,30,40,400,0,3.469057778
4,0.251327412,12,1,75,300,150,150,150,30,40,400,0,3.456462222
4,0.251327412,12,1,100,300,150,150,150,30,40,400,0,3.469837778
4,0.251327412,12,1,150,300,150,150,150,30,40,400,0,3.470562222
4,0.446804289,16,1,25,300,150,150,150,30,40,400,0,3.480951111
4,0.446804289,16,1,50,300,150,150,150,30,40,400,0,3.698973333
4,0.446804289,16,1,75,300,150,150,150,30,40,400,0,3.738144444
4,0.446804289,16,1,100,300,150,150,150,30,40,400,0,3.722893333
4,0.446804289,16,1,150,300,150,150,150,30,40,400,0,3.728833333
4,0.035342917,6,1,25,400,200,200,200,30,40,400,0,3.1115225
4,0.035342917,6,1,50,400,200,200,200,30,40,400,0,3.2416775
4,0.035342917,6,1,75,400,200,200,200,30,40,400,0,3.2515725
4,0.035342917,6,1,100,400,200,200,200,30,40,400,0,3.258535
4,0.035342917,6,1,150,400,200,200,200,30,40,400,0,3.25852625
4,0.035342917,6,1,200,400,200,200,200,30,40,400,0,3.25852625
4,0.062831853,8,1,25,400,200,200,200,30,40,400,0,3.3025975
4,0.062831853,8,1,50,400,200,200,200,30,40,400,0,3.4443325
4,0.062831853,8,1,75,400,200,200,200,30,40,400,0,3.3248675
4,0.062831853,8,1,100,400,200,200,200,30,40,400,0,3.44495125
4,0.062831853,8,1,150,400,200,200,200,30,40,400,0,3.4449375
4,0.062831853,8,1,200,400,200,200,200,30,40,400,0,3.44321625
4,0.09817477,10,1,25,400,200,200,200,30,40,400,0,3.40586625
4,0.09817477,10,1,50,400,200,200,200,30,40,400,0,3.55789
4,0.09817477,10,1,75,400,200,200,200,30,40,400,0,3.41016875
4,0.09817477,10,1,100,400,200,200,200,30,40,400,0,3.55412625
4,0.09817477,10,1,150,400,200,200,200,30,40,400,0,3.56066625
4,0.09817477,10,1,200,400,200,200,200,30,40,400,0,3.56066
4,0.141371669,12,1,25,400,200,200,200,30,40,400,0,3.52426125
4,0.141371669,12,1,50,400,200,200,200,30,40,400,0,3.65709375
4,0.141371669,12,1,75,400,200,200,200,30,40,400,0,3.5265675
4,0.141371669,12,1,100,400,200,200,200,30,40,400,0,3.6587475
4,0.141371669,12,1,150,400,200,200,200,30,40,400,0,3.6568825
4,0.141371669,12,1,200,400,200,200,200,30,40,400,0,3.65743375
4,0.251327412,16,1,25,400,200,200,200,30,40,400,0,3.76109125
4,0.251327412,16,1,50,400,200,200,200,30,40,400,0,3.8329975
4,0.251327412,16,1,75,400,200,200,200,30,40,400,0,3.77803
4,0.251327412,16,1,100,400,200,200,200,30,40,400,0,3.8369675
4,0.251327412,16,1,150,400,200,200,200,30,40,400,0,3.83799125
4,0.251327412,16,1,200,400,200,200,200,30,40,400,0,3.8400475
4,0.125663706,6,2,25,300,150,150,150,30,40,400,0,3.408431111
4,0.125663706,6,2,50,300,150,150,150,30,40,400,0,3.540566667
4,0.125663706,6,2,75,300,150,150,150,30,40,400,0,3.399184444
4,0.125663706,6,2,100,300,150,150,150,30,40,400,0,3.542484444
4,0.125663706,6,2,150,300,150,150,150,30,40,400,0,3.542537778
4,0.188495559,6,3,25,300,150,150,150,30,40,400,0,3.712526667
4,0.188495559,6,3,50,300,150,150,150,30,40,400,0,3.984102222
4,0.188495559,6,3,75,300,150,150,150,30,40,400,0,3.738564444
4,0.188495559,6,3,100,300,150,150,150,30,40,400,0,3.989148889
4,0.188495559,6,3,150,300,150,150,150,30,40,400,0,3.989144444
4,0.251327412,6,4,25,300,150,150,150,30,40,400,0,3.980433333
4,0.251327412,6,4,50,300,150,150,150,30,40,400,0,4.348331111
4,0.251327412,6,4,75,300,150,150,150,30,40,400,0,4.03432
4,0.251327412,6,4,100,300,150,150,150,30,40,400,0,4.357264444
4,0.251327412,6,4,150,300,150,150,150,30,40,400,0,4.361593333
4,0.376991118,6,6,25,300,150,150,150,30,40,400,0,4.822608889
4,0.376991118,6,6,50,300,150,150,150,30,40,400,0,5.217526667
